chr	start	end
1	2329656	2329666
1	3261677	3261687
1	4629403	4629413
1	5402865	5402875
1	7041170	7041180
1	7738175	7738185
1	10282181	10282191
1	10292387	10292492
1	10316305	10316381
1	10318551	10318730
1	10321963	10322028
1	10327438	10327616
1	10328210	10328321
1	10331560	10331637
1	10332299	10332364
1	10335486	10335561
1	10336379	10336457
1	10338044	10338186
1	10342458	10342591
1	10351140	10351219
1	10352105	10352180
1	10355144	10355223
1	10355718	10355824
1	10356640	10356723
1	10356955	10357135
1	10357232	10357304
1	10363221	10364705
1	10380101	10380194
1	10381767	10381915
1	10383942	10384120
1	10384816	10384953
1	10386169	10386417
1	10394578	10394696
1	10396715	10396800
1	10397132	10397261
1	10397429	10397591
1	10399827	10399917
1	10402108	10402226
1	10403290	10403345
1	10405903	10406011
1	10407819	10407885
1	10408707	10408791
1	10412689	10412794
1	10420987	10421101
1	10421750	10421883
1	10423341	10423402
1	10425158	10425303
1	10425467	10425706
1	10428525	10428596
1	10431199	10431320
1	10434374	10434523
1	10434912	10435104
1	10435313	10435431
1	10436603	10436645
1	11167542	11167557
1	11168238	11168343
1	11169347	11169427
1	11169706	11169786
1	11172909	11172974
1	11174375	11174510
1	11174870	11174944
1	11175453	11175525
1	11177061	11177143
1	11181303	11181425
1	11182036	11182183
1	11184555	11184690
1	11186679	11186853
1	11187067	11187201
1	11187681	11187863
1	11188061	11188183
1	11188511	11188609
1	11188912	11189008
1	11189795	11189895
1	11190586	11190834
1	11193137	11193254
1	11194408	11194523
1	11199361	11199492
1	11199590	11199715
1	11204705	11204812
1	11205025	11205102
1	11206733	11206848
1	11210183	11210283
1	11217209	11217348
1	11227499	11227574
1	11243735	11244027
1	11259315	11259460
1	11259598	11259760
1	11264618	11264760
1	11269369	11269515
1	11270871	11270963
1	11272369	11272531
1	11272853	11272965
1	11273456	11273623
1	11276205	11276291
1	11288725	11288975
1	11290982	11291111
1	11291357	11291491
1	11292493	11292585
1	11293455	11293544
1	11294200	11294322
1	11297900	11298105
1	11298459	11298674
1	11300360	11300604
1	11301610	11301738
1	11303171	11303357
1	11307682	11307790
1	11307876	11308151
1	11313896	11314030
1	11316049	11316249
1	11316990	11317222
1	11318542	11318650
1	11319305	11319466
1	12042750	12042760
1	12918865	12919151
1	12919548	12920126
1	12921076	12921634
1	14295457	14295467
1	14792530	14792540
1	15318394	15318404
1	16182306	16182513
1	16216065	16216270
1	16696983	16697188
1	17345376	17345453
1	17349103	17349225
1	17350468	17350569
1	17354244	17354360
1	17355095	17355231
1	17359555	17359640
1	17371256	17371383
1	17380443	17380514
1	18240894	18240904
1	19120892	19120902
1	20295017	20295027
1	21675948	21675958
1	23885451	23885510
1	23885618	23885917
1	23944073	23944193
1	25197150	25197160
1	26207239	26207249
1	27022895	27024031
1	27056142	27056354
1	27057643	27058095
1	27059167	27059283
1	27087347	27087587
1	27087875	27087964
1	27088643	27088810
1	27089464	27089776
1	27092712	27092857
1	27092948	27093057
1	27094281	27094490
1	27097610	27097817
1	27098991	27099123
1	27099303	27099478
1	27099837	27099987
1	27100071	27100208
1	27100293	27100389
1	27100820	27101711
1	27102068	27102198
1	27105514	27107247
1	29519773	29519783
1	29533596	29533606
1	30124771	30124781
1	30381484	30381494
1	30956407	30956417
1	31770939	31770949
1	31901647	31901657
1	34001330	34001340
1	34823617	34823627
1	36931697	36931801
1	36931958	36932509
1	36932831	36932912
1	36933159	36933252
1	36933423	36933563
1	36933676	36933822
1	36934757	36934858
1	36935253	36935441
1	36937034	36937247
1	36937667	36937740
1	36937839	36937992
1	36938118	36938287
1	36939036	36939223
1	36939365	36939488
1	36940978	36941274
1	36945034	36945097
1	37197715	37197725
1	38154868	38154878
1	38736869	38736879
1	39749079	39749189
1	39802852	39803005
1	39806474	39806627
1	40363044	40363642
1	40366486	40367115
1	40367480	40367560
1	42082447	42082457
1	42408154	42408164
1	43803520	43803598
1	43803770	43803902
1	43804213	43804391
1	43804942	43805240
1	43805635	43805797
1	43806058	43806184
1	43812116	43812300
1	43812463	43812605
1	43814514	43814673
1	43814934	43815030
1	43817887	43817974
1	43818189	43818443
1	44254140	44254150
1	44644519	44644724
1	45794978	45795109
1	45796188	45796229
1	45796854	45797006
1	45797092	45797228
1	45797333	45797521
1	45797695	45797758
1	45797838	45797982
1	45798063	45798160
1	45798246	45798359
1	45798435	45798506
1	45798590	45798631
1	45798769	45798842
1	45798957	45798996
1	45799085	45799275
1	45800063	45800183
1	45805891	45805926
1	46254999	46255009
1	47704647	47705411
1	48258034	48258044
1	51436041	51436169
1	51439565	51439942
1	52266237	52266247
1	53180560	53180570
1	54581864	54581874
1	55255578	55255588
1	56046315	56046325
1	56917947	56917957
1	57552418	57552428
1	57714553	57714563
1	58235492	58235502
1	59079354	59079364
1	59933331	59933341
1	61304760	61304770
1	62247384	62247394
1	64794744	64794754
1	65300245	65300340
1	65301079	65301189
1	65301781	65301898
1	65303615	65303787
1	65304148	65304272
1	65305286	65305478
1	65306928	65307022
1	65307134	65307284
1	65309747	65309898
1	65310437	65310572
1	65311196	65311323
1	65312332	65312419
1	65313215	65313358
1	65316487	65316593
1	65321192	65321381
1	65323339	65323462
1	65325788	65325945
1	65330470	65330655
1	65332549	65332891
1	65334994	65335157
1	65339053	65339206
1	65344708	65344831
1	65348960	65349158
1	65351942	65351947
1	66735849	66735859
1	68189161	68189171
1	70363596	70363606
1	72571359	72571369
